language	iso_code	gloss	ipa	asjp	sca	dolgo
nucl1305	kan	Nebel::N	m ə ŋ d͡ʒ u	m3Nju	MENCY	MVNKV
nucl1305	kan	Wolke::N	m o o ɖ a	moda	MUTA	MVTV
nucl1305	kan	Regen::N	m ə ɭ e	m3Le	MELE	MVRV
nucl1305	kan	Schnee::N	h ɪ m a	hima	HIMA	HVMV
nucl1305	kan	Eis::N	m ə ŋ d͡ʒ ʊ ɡ ə ɖ ɖ e	m3Njug3de	MENCYKETE	MVNKVKVTV
nucl1305	kan	Frost::N	m ə ŋ d͡ʒ u	m3Nju	MENCY	MVNKV
nucl1305	kan	Kälte::N	h ɪ m a	hima	HIMA	HVMV
nucl1305	kan	Hitze::N	w ʊ ʂ ɳ a	wuSna	WYSNA	WVSNV
nucl1305	kan	Raureif::N	j ɪ b b ə n i	yib3ni	JIPENI	JVPVNV
nucl1305	kan	Regenbogen::N	j ɪ ŋ d r ə t͡ʃ a a p a	yiNdr3Capa	JINTRECAPA	JVNTRVKVPV
nucl1305	kan	Donner::N	ɡ ʊ ɖ ʊ ɡ u	gudugu	KYTYKY	KVTVKV
nucl1305	kan	Strömung::N	p r ə ʋ a a h a	pr3waha	PREWAHA	PRVWVHV
nucl1305	kan	Tropfen::N	t ɔ ʈ ʈ u	totu	TUTY	TVTV
nucl1305	kan	Schaum::N	n ɔ r e	nore	NURE	NVRV
nucl1305	kan	Schmutz::N	k ə s a	k3sa	KESA	KVSV
nucl1305	kan	See::N	s ə r o o ʋ ə r a	s3row3ra	SERUWERA	SVRVWVRV
nucl1305	kan	Sumpf::N	d͡ʒ ə ʊ ɡ ʊ s t h ə ɭ a	j3ugusth3La	CEYKYSTHELA	KVKVSTHVRV
nucl1305	kan	Moor::N	b ə ŋ d͡ʒ ə r ʊ _ bʰ u u m i	b3Nj3rubumi	PENCERY_PYMI	PVNKVRV_PVMV
nucl1305	kan	Wiese::N	h ʊ l l ʊ ɡ a a ʋ ə l u	hulugaw3lu	HYLYKAWELY	HVRVKVWVRV
nucl1305	kan	Wald::N	k a a ɖ u	kadu	KATY	KVTV
nucl1305	kan	Hügel::N	ɡ ʊ ɖ ɖ e	gude	KYTE	KVTV
nucl1305	kan	Anhöhe::N	d ɪ b b a	diba	TIPA	TVPV
