language	iso_code	gloss	ipa	asjp	sca	dolgo
nucl1305	kan	sich versammeln::V	n ɛ r e	nEre	NERE	NVRV
nucl1305	kan	spielen::V	a a ɖ u	adu	ATY	VTV
nucl1305	kan	singen::V	h a a ɖ u	hadu	HATY	HVTV
nucl1305	kan	tanzen::V	k ʊ ɳ i	kuni	KYNI	KVNV
nucl1305	kan	sich trennen::V	p r ə t j e e m a a ɖ u	pr3tyemadu	PRETJEMATY	PRVTJVMVTV
nucl1305	kan	verlassen::V	k ə ɭ e	k3Le	KELE	KVRV
nucl1305	kan	retten::V	r ə k ʂ ɪ s u	r3kSisu	REKSISY	RVKSVSV
nucl1305	kan	bewachen::V	k a a p a a ɖ u	kapadu	KAPATY	KVPVTV
nucl1305	kan	schützen::V	s ə ŋ r ə k ʂ ɪ s u	s3Nr3kSisu	SENREKSISY	SVNRVKSVSV
nucl1305	kan	verteidigen::V	k a a p ɪ ɖ u	kapidu	KAPITY	KVPVTV
nucl1305	kan	sich schlagen::V	k ɪ t t a a ʈ a	kitata	KITATA	KVTVTV
nucl1305	kan	schießen::V	j ɛ s e	yEse	JESE	JVSV
nucl1305	kan	siegen::V	ɡ ɛ l l u	gElu	KELY	KVRV
nucl1305	kan	ärgern::V	r e e ɡ ɪ s u	regisu	REKISY	RVKVSV
nucl1305	kan	schlagen::V	h ɔ ɖ e	hode	HUTE	HVTV
nucl1305	kan	treten::V	w ɔ d e	wode	WUTE	WVTV
nucl1305	kan	stechen::V	t͡ʃ ʊ t t͡ʃ u	CuCu	CYCY	KVKV
nucl1305	kan	stoßen::V	t ə ɭ ɭ u	t3Lu	TELY	TVRV
nucl1305	kan	stehlen::V	k ə d i	k3di	KETI	KVTV
nucl1305	kan	stören::V	k ə t ə k u	k3t3ku	KETEKY	KVTVKV
nucl1305	kan	belästigen::V	t ɔ ŋ d ə r e	toNd3re	TUNTERE	TVNTVRV
nucl1305	kan	verbergen::V	m ə r ɛ m a a d͡ʒ u	m3rEmaju	MEREMACY	MVRVMVKV
nucl1305	kan	täuschen::V	ʈ h ə k k ɪ s u	th3kisu	THEKISY	THVKVSV
nucl1305	kan	betrügen::V	ʋ ə ŋ t͡ʃ ɪ s u	w3NCisu	WENCISY	WVNKVSV
nucl1305	kan	töten::V	k ɔ l l u	kolu	KULY	KVRV
nucl1305	kan	wohnen::V	ʋ a a s ɪ s u	wasisu	WASISY	WVSVSV
nucl1305	kan	arbeiten::V	k ɛ l ə s ə _ m a a ɖ u	kEl3s3madu	KELESE_MATY	KVRVSV_MVTV
nucl1305	kan	sammeln::V	s ə ŋ t͡ʃ ə j ɪ s u	s3NC3yisu	SENCEJISY	SVNKVJVSV
nucl1305	kan	pflücken::V	b ɪ ɖ ɪ s u	bidisu	PITISY	PVTVSV
nucl1305	kan	jagen::V	b e e ʈ ɛ j a a ɖ u	betEyadu	PETEJATY	PVTVJVTV
nucl1305	kan	fischen::V	m i i n ʊ _ h ɪ ɖ i	minuhidi	MINY_HITI	MVNV_HVTV
nucl1305	kan	fassen::V	h ɪ ɖ i	hidi	HITI	HVTV
nucl1305	kan	hüten::V	ɡ ʊ ŋ p ʊ s e e r ɪ s u	guNpuserisu	KYNPYSERISY	KVNPVSVRVSV
nucl1305	kan	treiben::V	d ə b b u	d3bu	TEPY	TVPV
nucl1305	kan	anbinden::V	b ɪ ɡ i	bigi	PIKI	PVKV
nucl1305	kan	füttern::V	m e e j ɪ s u	meyisu	MEJISY	MVJVSV
nucl1305	kan	melken::V	h a a l ʊ _ k ə r e	haluk3re	HALY_KERE	HVRV_KVRV
nucl1305	kan	hacken::V	t ʊ ŋ ɖ ə r ɪ s u	tuNd3risu	TYNTERISY	TVNTVRVSV
nucl1305	kan	gießen::V	n i i r ʊ h a a k u	niruhaku	NIRYHAKY	NVRVHVKV
nucl1305	kan	reifen::V	k ə ɭ i	k3Li	KELI	KVRV
nucl1305	kan	zubereiten::V	ə ɖ ɪ ɡ ɛ m a a ɖ u	3digEmadu	ETIKEMATY	VTVKVMVTV
nucl1305	kan	kochen::V	ə ɖ u	3du	ETY	VTV
nucl1305	kan	backen::V	b e e j ɪ s u	beyisu	PEJISY	PVJVSV
nucl1305	kan	braten::V	k ə r i	k3ri	KERI	KVRV
nucl1305	kan	umrühren::V	k ə l ə k u	k3l3ku	KELEKY	KVRVKV
nucl1305	kan	stricken::V	h ɛ ɳ e	hEne	HENE	HVNV
nucl1305	kan	nähen::V	h ɔ l i	holi	HULI	HVRV
nucl1305	kan	färben::V	b ə ɳ ɳ ə _ h ə t t u	b3n3h3tu	PENE_HETY	PVNV_HVTV
nucl1305	kan	reinigen::V	s ʋ ə t t͡ʃ h ə m a a ɖ u	sw3Ch3madu	SWECHEMATY	SWVKHVMVTV
nucl1305	kan	waschen::V	t ɔ ɭ e	toLe	TULE	TVRV
nucl1305	kan	abwischen::V	w ɔ r ə s u	wor3su	WURESY	WVRVSV
nucl1305	kan	spülen::V	ɡ ə l ə b ə r ɪ s u	g3l3b3risu	KELEPERISY	KVRVPVRVSV
nucl1305	kan	fegen::V	ɡ ʊ ɖ ɪ s u	gudisu	KYTISY	KVTVSV
nucl1305	kan	kehren::V	ɡ ʊ ɖ ɪ s u	gudisu	KYTISY	KVTVSV
nucl1305	kan	baden::V	s n a a n ə m a a ɖ u	snan3madu	SNANEMATY	SNVNVMVTV
nucl1305	kan	sich waschen::V	t ɔ ɭ e	toLe	TULE	TVRV
nucl1305	kan	ausziehen::V	b ɪ t t͡ʃ u	biCu	PICY	PVKV
nucl1305	kan	anziehen::V	h a a k u	haku	HAKY	HVKV
nucl1305	kan	sich anziehen::V	h a a k u	haku	HAKY	HVKV
nucl1305	kan	kämmen::V	b a a t͡ʃ u	baCu	PACY	PVKV
nucl1305	kan	schmücken::V	ə l ə ŋ k ə r ɪ s u	3l3Nk3risu	ELENKERISY	VRVNKVRVSV
nucl1305	kan	sagen::V	h e e ɭ u	heLu	HELY	HVRV
nucl1305	kan	sprechen::V	n ʊ ɖ i	nudi	NYTI	NVTV
nucl1305	kan	reden::V	n ʊ ɖ i	nudi	NYTI	NVTV
nucl1305	kan	sich unterhalten::V	h ə r ə ʈ ɛ _ h ɔ ɖ i	h3r3tEhodi	HERETE_HUTI	HVRVTV_HVTV
nucl1305	kan	fragen::V	ʋ ɪ t͡ʃ a a r ɪ s u	wiCarisu	WICARISY	WVKVRVSV
nucl1305	kan	bitten::V	b e e ɖ u	bedu	PETY	PVTV
nucl1305	kan	erzählen::V	h e e ɭ u	heLu	HELY	HVRV
nucl1305	kan	mitteilen::V	t ɪ ɭ ɪ s u	tiLisu	TILISY	TVRVSV
nucl1305	kan	nennen::V	h ɛ s ə r ɪ ɖ u	hEs3ridu	HESERITY	HVSVRVTV
nucl1305	kan	rufen::V	k ə r e	k3re	KERE	KVRV
nucl1305	kan	prahlen::V	d͡ʒ ə ŋ b ə _ k ɔ t t͡ʃ u	j3Nb3koCu	CENPE_KUCY	KVNPV_KVKV
nucl1305	kan	übersetzen::V	bʰ a a ʂ a a ŋ t ə r ɪ s u	baSaNt3risu	PASANTERISY	PVSVNTVRVSV
nucl1305	kan	denken::V	j o o t͡ʃ ɪ s u	yoCisu	JUCISY	JVKVSV
nucl1305	kan	glauben::V	n ə ŋ b u	n3Nbu	NENPY	NVNPV
nucl1305	kan	bemerken::V	ɡ ə m ə n ɪ s u	g3m3nisu	KEMENISY	KVMVNVSV
nucl1305	kan	erkennen::V	ɡ ʊ r ʊ t ʊ h ɪ ɖ i	gurutuhidi	KYRYTYHITI	KVRVTVHVTV
nucl1305	kan	begreifen::V	ɡ r ə h ɪ s u	gr3hisu	KREHISY	KRVHVSV
nucl1305	kan	verstehen::V	ə r t h ə m a a ɖ ɪ k o	3rth3madiko	ERTHEMATIKU	VRTHVMVTVKV
nucl1305	kan	lernen::V	k ə l i	k3li	KELI	KVRV
nucl1305	kan	wissen::V	ə r i	3ri	ERI	VRV
nucl1305	kan	sich erinnern an::V	d͡ʒ ɲ a a p ə k ə ʋ ɪ ʈ ʈ ʊ k o	j5ap3k3wituko	CNAPEKEWITYKU	KNVPVKVWVTVKV
nucl1305	kan	vergessen::V	m ə r ɛ t ʊ ʋ ɪ ɖ u	m3rEtuwidu	MERETYWITY	MVRVTVWVTV
nucl1305	kan	messen::V	ə ɭ e	3Le	ELE	VRV
nucl1305	kan	zählen::V	ɡ ə ɳ ɪ s u	g3nisu	KENISY	KVNVSV
nucl1305	kan	rechnen::V	l ɛ k k ə _ h a a k u	lEk3haku	LEKE_HAKY	RVKV_HVKV
nucl1305	kan	lesen::V	w o o d u	wodu	WUTY	WVTV
nucl1305	kan	malen::V	b ɪ ɖ ɪ s u	bidisu	PITISY	PVTVSV
nucl1305	kan	zeichnen::V	b ɪ ɖ ɪ s u	bidisu	PITISY	PVTVSV
nucl1305	kan	schreiben::V	b ə r e	b3re	PERE	PVRV
nucl1305	kan	besitzen::V	w ɔ ɖ ɛ j ə n a a ɡ ɪ r u	wodEy3nagiru	WUTEJENAKIRY	WVTVJVNVKVRV
nucl1305	kan	kaufen::V	k ɔ ɭ ɭ u	koLu	KULY	KVRV
nucl1305	kan	verkaufen::V	k ɔ ɖ u	kodu	KUTY	KVTV
nucl1305	kan	bezahlen::V	b ɛ l ɛ t ɛ r u	bElEtEru	PELETERY	PVRVTVRV
nucl1305	kan	zahlen::V	h ə ɳ ə ʋ ə n n ʊ k ɔ ɖ u	h3n3w3nukodu	HENEWENYKUTY	HVNVWVNVKVTV
nucl1305	kan	beherrschen::V	ə d h ɪ k a a r ə _ n ə ɖ ɛ s u	3dhikar3n3dEsu	ETHIKARE_NETESY	VTHVKVRV_NVTVSV
nucl1305	kan	ertragen::V	s ə h ɪ s u	s3hisu	SEHISY	SVHVSV
mala1464	mal	Auge::N	k a ɳ ɳ ɨ	kan3	KANI	KVNV
mala1464	mal	Ohr::N	t͡ʃ e ʋ i	Cewi	CEWI	KVWV
mala1464	mal	Nase::N	m u u k k ɨ	muk3	MYKI	MVKV
mala1464	mal	Mund::N	ʋ a a j a	waya	WAJA	WVJV
mala1464	mal	Zahn::N	p a l l ɨ	pal3	PALI	PVRV
mala1464	mal	Zunge::N	n a a k k ɨ	nak3	NAKI	NVKV
mala1464	mal	Lippe::N	t͡ʃ u ɳ ɖ ɨ	Cund3	CYNTI	KVNTV
mala1464	mal	Wange::N	k a ʋ i ɭ t t a ɖ a m	kawiLtadam	KAWILTATAM	KVWVRTVTVM
mala1464	mal	Gesicht::N	m u kʰ a m	mukam	MYKAM	MVKVM
mala1464	mal	Stirn::N	n e t t i	neti	NETI	NVTV
mala1464	mal	Haar::N	t a l a m u ɖ i	talamudi	TALAMYTI	TVRVMVTV
mala1464	mal	Schnurrbart::N	m i i ɕ a	miSa	MISA	MVSV
mala1464	mal	Bart::N	t a a ɖ i ɾʲ o o m a m	tadiromam	TATIRUMAM	TVTVRVMVM
mala1464	mal	Kinn::N	t a a ɖ i	tadi	TATI	TVTV
mala1464	mal	Kiefer[Anatomie]::N	t a a ɖ i j e l l ɨ	tadiyel3	TATIJELI	TVTVJVRV
mala1464	mal	Kehle::N	k a ɳ ʈ ɦ a n a a ɭ a m	kanthanaLam	KANTHANALAM	KVNTHVNVRVM
mala1464	mal	Hals::N	k a ɻ u t t ɨ	kaLut3	KARYTI	KVRVTV
mala1464	mal	Genick::N	p i ɖ a l i	pidali	PITALI	PVTVRV
mala1464	mal	Kopf::N	t a l a	tala	TALA	TVRV
mala1464	mal	Rücken::N	m u dʰ u ɡ ɨ	mudug3	MYTYKI	MVTVKV
mala1464	mal	Bauch::N	n a j a r ɨ	nayar3	NAJARI	NVJVRV
mala1464	mal	Nabel::N	n a a bʰ i	nabi	NAPI	NVPV
mala1464	mal	Busen::N	s t a n a m	stanam	STANAM	STVNVM
mala1464	mal	Brust::N	s t a n a m	stanam	STANAM	STVNVM
mala1464	mal	Schulter::N	t o o ɭ	toL	TUL	TVR
mala1464	mal	Arm::N	k a i	kai	KAI	KV
mala1464	mal	Ellenbogen::N	k a i m u ʈ ʈ ɨ	kaimut3	KAIMYTI	KVMVTV
mala1464	mal	Hand::N	k a i	kai	KAI	KV
mala1464	mal	Handfläche::N	u ɭ ɭ a m _ k a i	uLamkai	YLAM_KAI	VRVM_KV
mala1464	mal	Finger::N	ʋ i ɾʲ a l	wiral	WIRAL	WVRVR
mala1464	mal	Fingernagel::N	n a kʰ a m	nakam	NAKAM	NVKVM
mala1464	mal	Nagel[Anatomie]::N	n a kʰ a m	nakam	NAKAM	NVKVM
mala1464	mal	Zeh::N	k a a l ʋ i ɾʲ a l	kalwiral	KALWIRAL	KVRWVRVR
mala1464	mal	Fuß::N	k a a l p p a a d a m	kalpadam	KALPATAM	KVRPVTVM
mala1464	mal	Ferse::N	u p p u u t t i	uputi	YPYTI	VPVTV
mala1464	mal	Knie::N	k a a l m u ʈ ʈ ɨ	kalmut3	KALMYTI	KVRMVTV
mala1464	mal	Oberschenkel::N	t u ɖ a	tuda	TYTA	TVTV
mala1464	mal	Bein::N	k a a l	kal	KAL	KVR
mala1464	mal	Körper::N	ɕ a ɾʲ i i ɾʲ a m	Sariram	SARIRAM	SVRVRVM
mala1464	mal	Haut::N	t͡ʃ a ɾʲ m m a m	Carmam	CARMAM	KVRMVM
mala1464	mal	Blut::N	ɾʲ a k t a m	raktam	RAKTAM	RVKTVM
mala1464	mal	Ader::N	ɲ a ɾʲ a m b ɨ	5aramb3	NARAMPI	NVRVMPV
mala1464	mal	Sehne::N	s n a a j u	snayu	SNAJY	SNVJV
mala1464	mal	Knochen::N	a s t ɦ i	asthi	ASTHI	VSTHV
mala1464	mal	Gehirn::N	t a l a t t͡ʃ o o r ɨ	talaCor3	TALACURI	TVRVKVRV
mala1464	mal	Herz::N	ɦ ɾʲ d a j a m	hrdayam	HRTAJAM	HRTVJVM
mala1464	mal	Magen::N	ʋ a j a ɾʲ	wayar	WAJAR	WVJVR
mala1464	mal	Leber::N	k a ɾʲ a ɭ	karaL	KARAL	KVRVR
mala1464	mal	Atem::N	ɕ ʋ a a s a m	Swasam	SWASAM	SWVSVM
mala1464	mal	Hunger::N	ʋ i ɕ a p p ɨ	wiSap3	WISAPI	WVSVPV
mala1464	mal	Träne::N	k a ɳ ɳ i i ɾʲ	kanir	KANIR	KVNVR
mala1464	mal	Geschmack::N	ɾʲ u t͡ʃ i	ruCi	RYCI	RVKV
mala1464	mal	Geruch::N	ɡ a n d ɦ a m	gandham	KANTHAM	KVNTHVM
mala1464	mal	Schlaf::N	u r a ɡ u m	uragum	YRAKYM	VRVKVM
mala1464	mal	Traum::N	s ʋ a b n a m	swabnam	SWAPNAM	SWVPNVM
mala1464	mal	Himmel::N	a a ɡ a a ɕ a m	agaSam	AKASAM	VKVSVM
mala1464	mal	Sonne::N	s u u ɾʲ ɾʲ a n	suran	SYRAN	SVRVN
mala1464	mal	Mond::N	t͡ʃ a n d ɾʲ a n	Candran	CANTRAN	KVNTRVN
mala1464	mal	Stern::N	n a k ʂ a t ɾʲ a m	nakSatram	NAKSATRAM	NVKSVTRVM
mala1464	mal	Luft::N	k a a t t ɨ	kat3	KATI	KVTV
mala1464	mal	Wind::N	k a a t t ɨ	kat3	KATI	KVTV
mala1464	mal	Welle::N	t i ɾʲ a m a a l a	tiramala	TIRAMALA	TVRVMVRV
mala1464	mal	Wasser::N	ʋ e ɭ ɭ a m	weLam	WELAM	WVRVM
mala1464	mal	Stein::N	ɕ i l a	Sila	SILA	SVRV
mala1464	mal	Stein::N	k a l l ɨ	kal3	KALI	KVRV
mala1464	mal	Boden::N	t a r a	tara	TARA	TVRV
mala1464	mal	Boden::N	n i l a m	nilam	NILAM	NVRVM
mala1464	mal	Erde::N	m a ɳ ɳ ɨ	man3	MANI	MVNV
mala1464	mal	Staub::N	p o ɖ i	podi	PUTI	PVTV
mala1464	mal	Rauch::N	p u ɡ a	puga	PYKA	PVKV
mala1464	mal	Funke::N	t i i p p o ɾʲ i	tipori	TIPURI	TVPVRV
mala1464	mal	Feuer::N	t i i	ti	TI	TV
mala1464	mal	Licht::N	ʋ i ɭ a k k ɨ	wiLak3	WILAKI	WVRVKV
mala1464	mal	Licht::N	s u u ɾʲ ɾʲ a p ɾʲ a ɡ a a ɕ a m	surapragaSam	SYRAPRAKASAM	SVRVPRVKVSVM
mala1464	mal	Schatten::N	t a ɳ a l	tanal	TANAL	TVNVR
mala1464	mal	Wetter::N	k a a l a a ʋ a s t ɦ a	kalawastha	KALAWASTHA	KVRVWVSTHV
mala1464	mal	Nebel::N	m u u ɖ a l m a ɲ ɲ ɨ	mudalma53	MYTALMANI	MVTVRMVNV
mala1464	mal	Wolke::N	m e e ɡʰ a m	megam	MEKAM	MVKVM
mala1464	mal	Regen::N	m a ɻ a	maLa	MARA	MVRV
mala1464	mal	Schnee::N	m a ɲ ɲ ɨ	ma53	MANI	MVNV
mala1464	mal	Eis::N	a i s ɨ	ais3	AISI	VSV
mala1464	mal	Frost::N	m u u ɖ a l m a ɲ ɲ ɨ	mudalma53	MYTALMANI	MVTVRMVNV
mala1464	mal	Kälte::N	t a ɳ u p p ɨ	tanup3	TANYPI	TVNVPV
mala1464	mal	Hitze::N	t͡ʃ u u ɖ ɨ	Cud3	CYTI	KVTV
mala1464	mal	Raureif::N	k o o ɖ a m a ɲ ɲ ɨ	kodama53	KUTAMANI	KVTVMVNV
mala1464	mal	Regenbogen::N	m a ɻ a ʋ i l l ɨ	maLawil3	MARAWILI	MVRVWVRV
mala1464	mal	Donner::N	i ɖ i	idi	ITI	VTV
mala1464	mal	Strömung::N	p ɾʲ a ʋ a a ɦ a m	prawaham	PRAWAHAM	PRVWVHVM
mala1464	mal	Tropfen::N	t u ɭ ɭ i	tuLi	TYLI	TVRV
mala1464	mal	Schaum::N	n u ɾʲ a	nura	NYRA	NVRV
mala1464	mal	Schmutz::N	a ɻ u k k ɨ	aLuk3	ARYKI	VRVKV
mala1464	mal	See::N	t a ɖ a a ɡ a m	tadagam	TATAKAM	TVTVKVM
mala1464	mal	Sumpf::N	t͡ʃ a dʰ u p p u n i l a m	Cadupunilam	CATYPYNILAM	KVTVPVNVRVM
mala1464	mal	Moor::N	p a a ɻ n i l a m	paLnilam	PARNILAM	PVRNVRVM
mala1464	mal	Wiese::N	p u l t t a ɡ i ɖ i	pultagidi	PYLTAKITI	PVRTVKVTV
mala1464	mal	Wald::N	ʋ a n a m	wanam	WANAM	WVNVM
mala1464	mal	Wald::N	k a a ɖ ɨ	kad3	KATI	KVTV
mala1464	mal	Hügel::N	k u n n ɨ	kun3	KYNI	KVNV
mala1464	mal	Anhöhe::N	u j a ɾʲ n n a _ bʰ u u m i	uyarnabumi	YJARNA_PYMI	VJVRNV_PVMV
mala1464	mal	Berg::N	p a ɾʲ ʋ ʋ a dʰ a m	parwadam	PARWATAM	PVRWVTVM
mala1464	mal	Gipfel::N	u t t͡ʃ a ɡ o o ɖ i	uCagodi	YCAKUTI	VKVKVTV
mala1464	mal	Höhle::N	ɡ u ɦ a	guha	KYHA	KVHV
mala1464	mal	Abhang::N	t͡ʃ a ɾʲ i ʋ ɨ	Cariw3	CARIWI	KVRVWV
mala1464	mal	Quelle::N	u r a ʋ i ɖ a m	urawidam	YRAWITAM	VRVWVTVM
mala1464	mal	Bach::N	a ɾʲ u ʋ i	aruwi	ARYWI	VRVWV
mala1464	mal	Fluss::N	n a d i	nadi	NATI	NVTV
mala1464	mal	Ufer::N	t i i ɾʲ a m	tiram	TIRAM	TVRVM
mala1464	mal	Küste::N	k a ɖ a l t t i i ɾʲ a m	kadaltiram	KATALTIRAM	KVTVRTVRVM
mala1464	mal	Festland::N	k a ɾʲ a	kara	KARA	KVRV
mala1464	mal	Meer::N	k a ɖ a l	kadal	KATAL	KVTVR
mala1464	mal	Bucht::N	u ɭ k k a ɖ a l ɨ	uLkadal3	YLKATALI	VRKVTVRV
mala1464	mal	Insel::N	d ʋ i i b ɨ	dwib3	TWIPI	TWVPV
mala1464	mal	Blume::N	p u u ʋ ɨ	puw3	PYWI	PVWV
mala1464	mal	Gras::N	p u l l ɨ	pul3	PYLI	PVRV
mala1464	mal	Wurzel::N	ʋ e e ɾʲ ɨ	wer3	WERI	WVRV
mala1464	mal	Baum::N	m a ɾʲ a m	maram	MARAM	MVRVM
mala1464	mal	Stamm::N	t a a j t t a ɖ i	taytadi	TAJTATI	TVJTVTV
mala1464	mal	Rinde::N	p a ʈ ʈ a	pata	PATA	PVTV
mala1464	mal	Ast::N	ɕ a a kʰ a	Saka	SAKA	SVKV
mala1464	mal	Zweig::N	ɕ a a kʰ a	Saka	SAKA	SVKV
mala1464	mal	Blatt::N	i l a	ila	ILA	VRV
mala1464	mal	Birke::N	p u u ʋ a ɾʲ a ɕ ɨ	puwaraS3	PYWARASI	PVWVRVSV
mala1464	mal	Kiefer[Baum]::N	p a i n m a ɾʲ a m	painmaram	PAINMARAM	PVNMVRVM
mala1464	mal	Weide[Baum]::N	ʋ i l l o o	wilo	WILU	WVRV
mala1464	mal	Tanne::N	d e e ʋ a d a a ɾʲ u	dewadaru	TEWATARY	TVWVTVRV
mala1464	mal	Horn::N	m ɾʲ ɡ a t t i n t e _ k o m b ɨ	mrgatintekomb3	MRKATINTE_KUMPI	MRKVTVNTV_KVMPV
mala1464	mal	Feder::N	t u u ʋ a l	tuwal	TYWAL	TVWVR
mala1464	mal	Fell::N	m ɾʲ d u ɾʲ o o m a m	mrduromam	MRTYRUMAM	MRTVRVMVM
mala1464	mal	Flügel::N	t͡ʃ i r a ɡ ɨ	Cirag3	CIRAKI	KVRVKV
mala1464	mal	Klaue::N	n a kʰ a m	nakam	NAKAM	NVKVM
mala1464	mal	Kralle::N	n a kʰ a m	nakam	NAKAM	NVKVM
mala1464	mal	Schwanz::N	ʋ a a l	wal	WAL	WVR
mala1464	mal	Ei::N	m u ʈ ʈ a	muta	MYTA	MVTV
mala1464	mal	Nest::N	k u u ɖ ɨ	kud3	KYTI	KVTV
mala1464	mal	Bau::N	m a a ɭ a m	maLam	MALAM	MVRVM
mala1464	mal	Tier::N	m ɾʲ ɡ a m	mrgam	MRKAM	MRKVM
mala1464	mal	Herde::N	k u u ʈ ʈ a m	kutam	KYTAM	KVTVM
mala1464	mal	Kuh::N	p a ɕ u	paSu	PASY	PVSV
mala1464	mal	Bulle::N	k a a ɭ a	kaLa	KALA	KVRV
mala1464	mal	Pferd::N	k u dʰ i ɾʲ a	kudira	KYTIRA	KVTVRV
mala1464	mal	Schaf::N	a a ɖ ɨ	ad3	ATI	VTV
mala1464	mal	Schwein::N	p a n n i	pani	PANI	PVNV
mala1464	mal	Hund::N	n a a j ɨ	nay3	NAJI	NVJV
mala1464	mal	Katze::N	p u u t t͡ʃ a	puCa	PYCA	PVKV
mala1464	mal	Bär::N	k a ɾʲ a ɖ i	karadi	KARATI	KVRVTV
mala1464	mal	Eichhörnchen::N	a ɳ ɳ a a n	anan	ANAN	VNVN
mala1464	mal	Elch::N	k a ɖ a m a a n ɨ	kadaman3	KATAMANI	KVTVMVNV
mala1464	mal	Fuchs::N	k u r u k k a n	kurukan	KYRYKAN	KVRVKVN
mala1464	mal	Hase::N	m u j a l	muyal	MYJAL	MVJVR
mala1464	mal	Maus::N	t͡ʃ u ɳ ɖ a l i	Cundali	CYNTALI	KVNTVRV
mala1464	mal	Wolf::N	t͡ʃ e n n a a j a	Cenaya	CENAJA	KVNVJV
mala1464	mal	Vogel::N	p a k ʂ i	pakSi	PAKSI	PVKSV
mala1464	mal	Schwarm::N	k u u ʈ ʈ a m	kutam	KYTAM	KVTVM
mala1464	mal	Huhn::N	k o o ɻ i	koLi	KURI	KVRV
mala1464	mal	Hahn::N	p u u ʋ a n ɡ o o ɻ i	puwangoLi	PYWANKURI	PVWVNKVRV
mala1464	mal	Gans::N	a ɾʲ a j a n n a m	arayanam	ARAJANAM	VRVJVNVM
mala1464	mal	Adler::N	k a ɻ u ɡ a n	kaLugan	KARYKAN	KVRVKVN
mala1464	mal	Ente::N	t a a r a a ʋ ɨ	taraw3	TARAWI	TVRVWV
mala1464	mal	Eule::N	m u u ŋ ŋ a	muNa	MYNA	MVNV
mala1464	mal	Kranich::N	k o k k ɨ	kok3	KUKI	KVKV
mala1464	mal	Krähe::N	k a a k k a	kaka	KAKA	KVKV
mala1464	mal	Kuckuck::N	k u j i l	kuyil	KYJIL	KVJVR
mala1464	mal	Schwan::N	a ɾʲ a j a n n a m	arayanam	ARAJANAM	VRVJVNVM
mala1464	mal	Fisch::N	m a t s j a m	matsyam	MATSJAM	MVTSJVM
mala1464	mal	Barsch::N	o ɾʲ i n a m _ m a t s j a m	orinammatsyam	URINAM_MATSJAM	VRVNVM_MVTSJVM
mala1464	mal	Hecht::N	o ɾʲ u _ m a t s j a m	orumatsyam	URY_MATSJAM	VRV_MVTSJVM
mala1464	mal	Schlange[Tier]::N	p a a m b ɨ	pamb3	PAMPI	PVMPV
mala1464	mal	Wurm::N	ʋ i ɾʲ a	wira	WIRA	WVRV
mala1464	mal	Spinne::N	t͡ʃ i l a n dʰ i	Cilandi	CILANTI	KVRVNTV
mala1464	mal	Ameise::N	u r u m b ɨ	urumb3	YRYMPI	VRVMPV
mala1464	mal	Laus::N	p e e n ɨ	pen3	PENI	PVNV
mala1464	mal	Mücke::N	m a ɕ a ɡ a m	maSagam	MASAKAM	MVSVKVM
mala1464	mal	Fliege::N	i i t t͡ʃ a	iCa	ICA	VKV
mala1464	mal	Schmetterling::N	t͡ʃ i t ɾʲ a ɕ a l a bʰ a m	CitraSalabam	CITRASALAPAM	KVTRVSVRVPVM
mala1464	mal	Beere::N	b e r i	beri	PERI	PVRV
mala1464	mal	Apfel::N	a a p p i ɭ	apiL	APIL	VPVR
mala1464	mal	Pilz::N	k u u ɳ	kun	KYN	KVN
mala1464	mal	Zwiebel::N	s a ʋ a a ɭ a	sawaLa	SAWALA	SVWVRV
mala1464	mal	Saat::N	ʋ i t t ɨ	wit3	WITI	WVTV
mala1464	mal	Korn::N	d ɦ a a n j a m	dhanyam	THANJAM	THVNJVM
mala1464	mal	Heu::N	ʋ a j k k o o l	waykol	WAJKUL	WVJKVR
mala1464	mal	Schale::N	t o l i	toli	TULI	TVRV
mala1464	mal	Grube::N	k u ɻ i	kuLi	KYRI	KVRV
mala1464	mal	Falle::N	k e ɳ i	keni	KENI	KVNV
mala1464	mal	Schlinge::N	k u ɖ u k k ɨ	kuduk3	KYTYKI	KVTVKV
mala1464	mal	Spur::N	t͡ʃ u ʋ a ɖ ɨ	Cuwad3	CYWATI	KVWVTV
mala1464	mal	Asche::N	t͡ʃ a a ɾʲ a m	Caram	CARAM	KVRVM
mala1464	mal	Dreck::N	a ɻ u k k ɨ	aLuk3	ARYKI	VRVKV
mala1464	mal	Eisen::N	i ɾʲ u m b ɨ	irumb3	IRYMPI	VRVMPV
mala1464	mal	Gold::N	s ʋ a ɾʲ ɳ ɳ a m	swarnam	SWARNAM	SWVRNVM
mala1464	mal	Silber::N	ʋ e ɭ ɭ i	weLi	WELI	WVRV
mala1464	mal	Kohle::N	k a l k k a ɾʲ i	kalkari	KALKARI	KVRKVRV
mala1464	mal	Glas::N	ɡ l a a s ɨ	glas3	KLASI	KRVSV
mala1464	mal	Lehm::N	k a ɭ i m a ɳ ɳ ɨ	kaLiman3	KALIMANI	KVRVMVNV
mala1464	mal	Sand::N	m a ɳ a l	manal	MANAL	MVNVR
mala1464	mal	Mensch::N	m a n u ʂ j a ɾʲ	manuSyar	MANYSJAR	MVNVSJVR
mala1464	mal	Mann::N	p u ɾʲ u ʂ a n	puruSan	PYRYSAN	PVRVSVN
mala1464	mal	Frau::N	s t ɾʲ i i	stri	STRI	STRV
