language	iso_code	gloss	ipa	asjp	sca	dolgo	Cognate Class
mala1464	mal	Abend::N	s a a j a a ɦ n a m	sayahnam	SAJAHNAM	SVJVHNVM	2
nucl1305	kan	Abend::N	s ə ŋ d͡ʒ e	s3Nje	SENCE	SVNKV	1
tami1289	tam	Abend::N	m ɑ ɑ l ʌ i p _ p o ɻ u ð u	maloippoLu8u	MALEIP_PURYDY	MVRVP_PVRVTV	2
telu1262	tel	Abend::N	s a a j ʌ̃ k a a l ʌ m u	sayokalomu	SAJEKALEMY	SVJVKVRVMV	2
mala1464	mal	abfahren::V	p u r a p p e ɖ u ɡ a	purapeduga	PYRAPETYKA	PVRVPVTVKV	1
nucl1305	kan	abfahren::V	t ɛ r ə ɭ u	tEr3Lu	TERELY	TVRVRV	3
tami1289	tam	abfahren::V	p u r ʌ p p ʌ ʈ ʈ u t͡ɕ _ t͡ɕ e l	puropotuCCel	PYREPETYC_CEL	PVRVPVTVK_KVR	1
telu1262	tel	abfahren::V	ʋ i ɖ i t͡ɕ i p o o ʋ u	widiCipowu	WITICIPUWY	WVTVKVPVWV	2
mala1464	mal	Abhang::N	t͡ʃ a ɾʲ i ʋ ɨ	Cariw3	CARIWI	KVRVWV	2
nucl1305	kan	Abhang::N	j ɪ ɭ ɪ d͡ʒ a a r u	yiLijaru	JILICARY	JVRVKVRV	2
tami1289	tam	Abhang::N	t͡ɕ ʌ ɾ i ʋ u	Coriwu	CERIWY	KVRVWV	2
telu1262	tel	Abhang::N	e e ʈ ʌ ʋ a a l u	etowalu	ETEWALY	VTVWVRV	1
mala1464	mal	abnehmen::V	k u r i j u ɡ a	kuriyuga	KYRIJYKA	KVRVJVKV	2
nucl1305	kan	abnehmen::V	t ə ɡ ɡ u	t3gu	TEKY	TVKV	1
tami1289	tam	abnehmen::V	k u r ʌ i	kuroi	KYREI	KVRV	2
telu1262	tel	abnehmen::V	t ʌ ɡ ɡ u	togu	TEKY	TVKV	1
mala1464	mal	abreißen::V	k i i r i k k ʲ a ɭ a j u ɡ a	kirikaLayuga	KIRIKALAJYKA	KVRVKVRVJVKV	3
nucl1305	kan	abreißen::V	h ə r i	h3ri	HERI	HVRV	2
tami1289	tam	abreißen::V	k i ɻ i	kiLi	KIRI	KVRV	1
telu1262	tel	abreißen::V	t e ɡ ʌ t ẽ t͡ɕ u	tegoteCu	TEKETECY	TVKVTVKV	3
mala1464	mal	abschneiden::V	m u r i t t͡ʃ u m a a t t u ɡ a	muriCumatuga	MYRICYMATYKA	MVRVKVMVTVKV	3
nucl1305	kan	abschneiden::V	k ə t t ə r ɪ s u	k3t3risu	KETERISY	KVTVRVSV	1
tami1289	tam	abschneiden::V	ʋ e ʈ ʈ i _ e ɖ u	wetiedu	WETI_ETY	WVTV_VTV	3
telu1262	tel	abschneiden::V	t e ɡ ʌ k o ʈ ʈ u	tegokotu	TEKEKUTY	TVKVKVTV	2
mala1464	mal	Abstand::N	ʋ i ɖ a ʋ ɨ	widaw3	WITAWI	WVTVWV	3
nucl1305	kan	Abstand::N	ə ŋ t ə r a	3Nt3ra	ENTERA	VNTVRV	3
tami1289	tam	Abstand::N	i ɖ ʌ i ʋ e ɭ i	idoiweLi	ITEIWELI	VTVWVRV	1
telu1262	tel	Abstand::N	s ʌ̃ d u	sodu	SETY	SVTV	2
mala1464	mal	abwischen::V	t u ɖ a j k k u ɡ a	tudaykuga	TYTAJKYKA	TVTVJKVKV	2
nucl1305	kan	abwischen::V	w ɔ r ə s u	wor3su	WURESY	WVRVSV	3
tami1289	tam	abwischen::V	t u ɖ ʌ i	tudoi	TYTEI	TVTV	1
telu1262	tel	abwischen::V	t u ɖ u t͡ɕ u	tuduCu	TYTYCY	TVTVKV	3
mala1464	mal	acht::NUM	e ʈ ʈ ɨ	et3	ETI	VTV	1
nucl1305	kan	acht::NUM	j ɛ ŋ ʈ u	yENtu	JENTY	JVNTV	1
tami1289	tam	acht::NUM	e ʈ ʈ u	etu	ETY	VTV	1
telu1262	tel	acht::NUM	e n i m ʌ d u	enimodu	ENIMETY	VNVMVTV	2
mala1464	mal	achtzig::NUM	e ɳ b a dʰ ɨ	enbad3	ENPATI	VNPVTV	1
nucl1305	kan	achtzig::NUM	j ɛ ŋ b ə t t u	yENb3tu	JENPETY	JVNPVTV	1
tami1289	tam	achtzig::NUM	e ɳ p ʌ ð u	enpo8u	ENPEDY	VNPVTV	1
telu1262	tel	achtzig::NUM	e n u b ʌ d i	enubodi	ENYPETI	VNVPVTV	1
mala1464	mal	Ader::N	ɲ a ɾʲ a m b ɨ	5aramb3	NARAMPI	NVRVMPV	1
nucl1305	kan	Ader::N	n ə r a	n3ra	NERA	NVRV	2
tami1289	tam	Ader::N	n ɑ ɑ ɭ ʌ m	naLom	NALEM	NVRVM	3
telu1262	tel	Ader::N	s i r ʌ	siro	SIRE	SVRV	3
mala1464	mal	Adler::N	k a ɻ u ɡ a n	kaLugan	KARYKAN	KVRVKVN	3
nucl1305	kan	Adler::N	ɡ ə r ʊ ɖ a	g3ruda	KERYTA	KVRVTV	1
tami1289	tam	Adler::N	p ʌ ɾ u n ʌ ð u	poruno8u	PERYNEDY	PVRVNVTV	2
telu1262	tel	Adler::N	ɡ r ʌ d d ʌ	grodo	KRETE	KRVTV	1
mala1464	mal	allein::ADV	t a n i t t͡ʃ u ɭ ɭ a	taniCuLa	TANICYLA	TVNVKVRV	1
nucl1305	kan	allein::ADV	w ɔ b b ə n e e	wob3ne	WUPENE	WVPVNV	2
tami1289	tam	allein::ADV	t ʌ n i j ɑ ɑ k ʌ	toniyako	TENIJAKE	TVNVJVKV	1
telu1262	tel	allein::ADV	õ ʈ i ɡ a a	otiga	UTIKA	VTVKV	2
mala1464	mal	alles::PRN	e l l a a m	elam	ELAM	VRVM	1
nucl1305	kan	alles::PRN	j ɛ l l a	yEla	JELA	JVRV	1
tami1289	tam	alles::PRN	o ʋ ʋ o n r u m	owonrum	UWUNRYM	VWVNRVM	2
telu1262	tel	alles::PRN	s ʌ k ʌ l ʌ m u	sokolomu	SEKELEMY	SVKVRVMV	2
mala1464	mal	alt::A	p a ɻ a j a	paLaya	PARAJA	PVRVJV	1
nucl1305	kan	alt::A	m ʊ d i	mudi	MYTI	MVTV	2
tami1289	tam	alt::A	p ʌ ɻ ʌ i j ʌ	poLoiyo	PEREIJE	PVRVJV	1
telu1262	tel	alt::A	m u s ʌ l i	musoli	MYSELI	MVSVRV	3
mala1464	mal	alt[Lebewesen]::A	ʋ a j a s s u ɭ ɭ a	wayasuLa	WAJASYLA	WVJVSVRV	1
nucl1305	kan	alt[Lebewesen]::A	ʋ r ɨ d d h a	wr3dha	WRITHA	WRVTHV	3
tami1289	tam	alt[Lebewesen]::A	ʋ ʌ j ʌ t ɑ ɑ n ʌ	woyotano	WEJETANE	WVJVTVNV	1
telu1262	tel	alt[Lebewesen]::A	m u s ʌ l i	musoli	MYSELI	MVSVRV	2
mala1464	mal	Alter::N	ʋ a j a s s ɨ	wayas3	WAJASI	WVJVSV	1
nucl1305	kan	Alter::N	m ʊ p p u	mupu	MYPY	MVPV	1
tami1289	tam	Alter::N	ʋ ʌ j ʌ ð u	woyo8u	WEJEDY	WVJVTV	1
telu1262	tel	Alter::N	ʋ ʌ j ʌ s s u	woyosu	WEJESY	WVJVSV	1
mala1464	mal	Ameise::N	u r u m b ɨ	urumb3	YRYMPI	VRVMPV	2
nucl1305	kan	Ameise::N	j ɪ r ʊ ʋ e	yiruwe	JIRYWE	JVRVWV	1
tami1289	tam	Ameise::N	e r u m b u	erumbu	ERYMPY	VRVMPV	2
telu1262	tel	Ameise::N	t͡ɕ i i m ʌ	Cimo	CIME	KVMV	2
mala1464	mal	anbinden::V	k e ʈ ʈ i j i ɖ u ɡ a	ketiyiduga	KETIJITYKA	KVTVJVTVKV	2
nucl1305	kan	anbinden::V	b ɪ ɡ i	bigi	PIKI	PVKV	2
tami1289	tam	anbinden::V	k ʌ ʈ ʈ u	kotu	KETY	KVTV	1
telu1262	tel	anbinden::V	k ʌ ʈ ʈ u	kotu	KETY	KVTV	1
mala1464	mal	anderer::A	m a t t u ɭ ɭ a	matuLa	MATYLA	MVTVRV	2
nucl1305	kan	anderer::A	j ɪ t ə r a	yit3ra	JITERA	JVTVRV	1
tami1289	tam	anderer::A	m ʌ t t ʌ	moto	METE	MVTV	2
telu1262	tel	anderer::A	ʋ e e ɽ t e n ʌ	werteno	WERTENE	WVRTVNV	2
mala1464	mal	ändern::V	m a a t t a m ʋ a ɾʲ u t t u ɡ a	matamwarutuga	MATAMWARYTYKA	MVTVMWVRVTVKV	3
nucl1305	kan	ändern::V	b ə d ə l a a j ɪ s u	b3d3layisu	PETELAJISY	PVTVRVJVSV	2
tami1289	tam	ändern::V	m ɑ ɑ t t i _ ʌ m ʌ i	matiomoi	MATI_EMEI	MVTV_VMV	1
telu1262	tel	ändern::V	m a a r t͡ɕ u	marCu	MARCY	MVRKV	3
mala1464	mal	anfangen::V	t u ɖ a ŋ ŋ u ɡ a	tudaNuga	TYTANYKA	TVTVNVKV	1
nucl1305	kan	anfangen::V	p r a a r ə ŋ bʰ ɪ s u	prar3Nbisu	PRARENPISY	PRVRVNPVSV	2
tami1289	tam	anfangen::V	t o ɖ ʌ ŋ ɡ u	todoNgu	TUTENKY	TVTVNKV	1
telu1262	tel	anfangen::V	a a r ʌ̃ bʰ ĩ t͡ɕ u	arobiCu	AREPICY	VRVPVKV	2
mala1464	mal	Angelegenheit::N	k a a ɾʲ ɾʲ a m	karam	KARAM	KVRVM	3
nucl1305	kan	Angelegenheit::N	ʋ ɪ t͡ʃ a a r a	wiCara	WICARA	WVKVRV	3
tami1289	tam	Angelegenheit::N	t͡ɕ e j t i	Ceyti	CEJTI	KVJTV	1
telu1262	tel	Angelegenheit::N	ʋ i ʂ ʌ j ʌ m u	wiSoyomu	WISEJEMY	WVSVJVMV	2
mala1464	mal	anhalten::V	n i ɾʲ t t u ɡ a	nirtuga	NIRTYKA	NVRTVKV	2
nucl1305	kan	anhalten::V	n ɪ l l u	nilu	NILY	NVRV	1
tami1289	tam	anhalten::V	n i n r u ʋ i ɖ u	ninruwidu	NINRYWITY	NVNRVWVTV	2
telu1262	tel	anhalten::V	n i l u p u	nilupu	NILYPY	NVRVPV	1
mala1464	mal	Anhöhe::N	u j a ɾʲ n n a _ bʰ u u m i	uyarnabumi	YJARNA_PYMI	VJVRNV_PVMV	1
nucl1305	kan	Anhöhe::N	d ɪ b b a	diba	TIPA	TVPV	3
tami1289	tam	Anhöhe::N	p ʌ ð u k k ʌ i	po8ukoi	PEDYKEI	PVTVKV	2
telu1262	tel	Anhöhe::N	k õ ɖ ʌ	kodo	KUTE	KVTV	3
mala1464	mal	ankommen::V	e t t i t t͡ʃ e e ɾʲ u ɡ a	etiCeruga	ETICERYKA	VTVKVRVKV	1
nucl1305	kan	ankommen::V	b ə r u	b3ru	PERY	PVRV	2
tami1289	tam	ankommen::V	ʋ ʌ n ʌ ð u _ t͡ɕ e e ɾ	wono8uCer	WENEDY_CER	WVNVTV_KVR	2
telu1262	tel	ankommen::V	ʋ ʌ t t͡ɕ i _ t͡ɕ e e r u	woCiCeru	WECI_CERY	WVKV_KVRV	1
mala1464	mal	anschauen::V	n o o k k u ɡ a	nokuga	NUKYKA	NVKVKV	3
nucl1305	kan	anschauen::V	n o o ɖ u	nodu	NUTY	NVTV	1
tami1289	tam	anschauen::V	k u u ɾ n t u _ k ʌ ʋ ʌ n i	kurntukowoni	KYRNTY_KEWENI	KVRNTV_KVWVNV	2
telu1262	tel	anschauen::V	t͡ɕ u u t͡ɕ u	CuCu	CYCY	KVKV	3
mala1464	mal	ansehen::V	n o o k k u ɡ a	nokuga	NUKYKA	NVKVKV	2
nucl1305	kan	ansehen::V	n ɪ r i i k ʂ ɪ s u	nirikSisu	NIRIKSISY	NVRVKSVSV	3
tami1289	tam	ansehen::V	k ʌ ʋ ʌ n i	kowoni	KEWENI	KVWVNV	3
telu1262	tel	ansehen::V	k a a t͡ɕ i j ũ ɖ u	kaCiyudu	KACIJYTY	KVKVJVTV	1
mala1464	mal	antreiben::V	p ɾʲ e e ɾʲ i p p i k k ʲ u ɡ a	preripikuga	PRERIPIKYKA	PRVRVPVKVKV	1
nucl1305	kan	antreiben::V	w o o ɖ ɪ s u	wodisu	WUTISY	WVTVSV	2
tami1289	tam	antreiben::V	t u u ɳ ʈ u	tuntu	TYNTY	TVNTV	3
telu1262	tel	antreiben::V	p r e e r e e p ĩ t͡ɕ u	prerepiCu	PREREPICY	PRVRVPVKV	1
mala1464	mal	Anzahl::N	e ɳ ɳ a m	enam	ENAM	VNVM	3
nucl1305	kan	Anzahl::N	j ɛ ɳ ɪ k e	yEnike	JENIKE	JVNVKV	1
tami1289	tam	Anzahl::N	e ɳ ɳ i k k ʌ i	enikoi	ENIKEI	VNVKV	1
telu1262	tel	Anzahl::N	l e k k ʌ	leko	LEKE	RVKV	2
mala1464	mal	anziehen::V	u ɖ u k k u ɡ a	udukuga	YTYKYKA	VTVKVKV	2
nucl1305	kan	anziehen::V	h a a k u	haku	HAKY	HVKV	3
tami1289	tam	anziehen::V	p u n ʌ i ð ʌ l	punoi8ol	PYNEIDEL	PVNVTVR	1
telu1262	tel	anziehen::V	d h ʌ r ĩ t͡ɕ u	dhoriCu	THERICY	THVRVKV	3
mala1464	mal	anzünden::V	k a t t i k k ʲ u ɡ a	katikuga	KATIKYKA	KVTVKVKV	2
nucl1305	kan	anzünden::V	h ə t t ɪ s u	h3tisu	HETISY	HVTVSV	3
tami1289	tam	anzünden::V	e ɾ i j u u ʈ ʈ u	eriyutu	ERIJYTY	VRVJVTV	1
telu1262	tel	anzünden::V	ʋ e l i ɡ ĩ t͡ɕ u	weligiCu	WELIKICY	WVRVKVKV	3
mala1464	mal	Apfel::N	a a p p i ɭ	apiL	APIL	VPVR	1
nucl1305	kan	Apfel::N	s e e b u	sebu	SEPY	SVPV	2
tami1289	tam	Apfel::N	ɑ ɑ p p i ɭ ʌ _ p ʌ ɻ ʌ m	apiLopoLom	APILE_PEREM	VPVRV_PVRVM	1
telu1262	tel	Apfel::N	a a p i l _ p ʌ̃ ɖ u	apilpodu	APIL_PETY	VPVR_PVTV	1
mala1464	mal	April::N	e e p ɾʲ i ɭ _ m a a s a m	epriLmasam	EPRIL_MASAM	VPRVR_MVSVM	1
nucl1305	kan	April::N	j ɪ b b e e s ɪ ɡ e	yibesige	JIPESIKE	JVPVSVKV	2
tami1289	tam	April::N	e e p ɾ ʌ l _ m ɑ ɑ t ʌ m	eprolmatom	EPREL_MATEM	VPRVR_MVTVM	1
telu1262	tel	April::N	e e p r i l u	eprilu	EPRILY	VPRVRV	3
mala1464	mal	Arbeit::N	d͡ʒ o o l i	joli	CULI	KVRV	3
nucl1305	kan	Arbeit::N	k ɛ l ə s a	kEl3sa	KELESA	KVRVSV	3
tami1289	tam	Arbeit::N	ʋ e e l ʌ i	weloi	WELEI	WVRV	1
telu1262	tel	Arbeit::N	p ʌ n i	poni	PENI	PVNV	2
mala1464	mal	arbeiten::V	d͡ʒ o o l i t͡ʃ e j j u ɡ a	joliCeyuga	CULICEJYKA	KVRVKVJVKV	1
nucl1305	kan	arbeiten::V	k ɛ l ə s ə _ m a a ɖ u	kEl3s3madu	KELESE_MATY	KVRVSV_MVTV	1
tami1289	tam	arbeiten::V	ʋ e e l ʌ i _ t͡ɕ e j	weloiCey	WELEI_CEJ	WVRV_KVJ	1
telu1262	tel	arbeiten::V	p ʌ n i t͡ɕ e e j u	poniCeyu	PENICEJY	PVNVKVJV	1
mala1464	mal	Arbeiter::N	d͡ʒ o o l i k k ʲ a a ɾʲ a n	jolikaran	CULIKARAN	KVRVKVRVN	3
nucl1305	kan	Arbeiter::N	k ɛ l ə s ə ɡ a a r a	kEl3s3gara	KELESEKARA	KVRVSVKVRV	2
tami1289	tam	Arbeiter::N	t o ɻ i l ɑ ɑ ɭ i	toLilaLi	TURILALI	TVRVRVRV	1
telu1262	tel	Arbeiter::N	p ʌ n i p a a ʈ u t͡ɕ e e ɕ e e ʋ a a ɖ u	ponipatuCeSewadu	PENIPATYCESEWATY	PVNVPVTVKVSVWVTV	3
mala1464	mal	ärgern::V	ʋ i ʂ a m i p p i k k ʲ u ɡ a	wiSamipikuga	WISAMIPIKYKA	WVSVMVPVKVKV	3
nucl1305	kan	ärgern::V	r e e ɡ ɪ s u	regisu	REKISY	RVKVSV	3
tami1289	tam	ärgern::V	e ɾ i t t͡ɕ ʌ l u u ʈ ʈ u	eriColutu	ERICELYTY	VRVKVRVTV	1
telu1262	tel	ärgern::V	p i i ɖ ĩ t͡ɕ u ʈ ʌ	pidiCuto	PITICYTE	PVTVKVTV	2
mala1464	mal	arm::A	p a a ʋ a p p e ʈ ʈ a	pawapeta	PAWAPETA	PVWVPVTV	2
nucl1305	kan	arm::A	b ə ɖ a	b3da	PETA	PVTV	1
tami1289	tam	arm::A	e e ɻ m ʌ i j ɑ ɑ n ʌ	eLmoiyano	ERMEIJANE	VRMVJVNV	2
telu1262	tel	arm::A	b i i d ʌ	bido	PITE	PVTV	1
mala1464	mal	Arm::N	k a i	kai	KAI	KV	1
nucl1305	kan	Arm::N	t o o ɭ u	toLu	TULY	TVRV	2
tami1289	tam	Arm::N	k ʌ ɾ ʌ m	korom	KEREM	KVRVM	3
telu1262	tel	Arm::N	t͡ɕ e e j i	Ceyi	CEJI	KVJV	3
mala1464	mal	Ärmel::N	k u p p a a j a k k a i	kupayakai	KYPAJAKAI	KVPVJVKV	3
nucl1305	kan	Ärmel::N	t o o ɭ u	toLu	TULY	TVRV	3
tami1289	tam	Ärmel::N	t͡ɕ ʌ ʈ ʈ ʌ i k k ʌ i	Cotoikoi	CETEIKEI	KVTVKV	1
telu1262	tel	Ärmel::N	t͡ɕ o k k a a j ʌ t͡ɕ e j j i	CokayoCeyi	CUKAJECEJI	KVKVJVKVJV	2
mala1464	mal	Art::N	t a ɾʲ a m	taram	TARAM	TVRVM	1
nucl1305	kan	Art::N	t ə r a	t3ra	TERA	TVRV	1
tami1289	tam	Art::N	ʋ ʌ h ʌ i	wohoi	WEHEI	WVHV	3
telu1262	tel	Art::N	d͡ʑ a a t i	jati	CATI	KVTV	2
mala1464	mal	Arznei::N	m a ɾʲ u n n ɨ	marun3	MARYNI	MVRVNV	1
nucl1305	kan	Arznei::N	ə ʊ ʂ ə d h a	3uS3dha	EYSETHA	VSVTHV	2
tami1289	tam	Arznei::N	m ʌ ɾ u n t u	moruntu	MERYNTY	MVRVNTV	1
telu1262	tel	Arznei::N	m ʌ̃ d u	modu	METY	MVTV	1
mala1464	mal	Arzt::N	ɖ o o k ʈ a ɾʲ	doktar	TUKTAR	TVKTVR	3
nucl1305	kan	Arzt::N	ʋ ə ɪ d j a	w3idya	WEITJA	WVTJV	1
tami1289	tam	Arzt::N	m ʌ ɾ u t t u ʋ ʌ ɾ	morutuwor	MERYTYWER	MVRVTVWVR	2
telu1262	tel	Arzt::N	ʋ a i d j u ɖ u	waidyudu	WAITJYTY	WVTJVTV	1
mala1464	mal	Asche::N	t͡ʃ a a ɾʲ a m	Caram	CARAM	KVRVM	3
nucl1305	kan	Asche::N	b u u d i	budi	PYTI	PVTV	1
tami1289	tam	Asche::N	t͡ɕ ɑ ɑ m b ʌ l	Cambol	CAMPEL	KVMPVR	2
telu1262	tel	Asche::N	b u u ɖ i d ʌ	budido	PYTITE	PVTVTV	1
mala1464	mal	Ast::N	ɕ a a kʰ a	Saka	SAKA	SVKV	1
nucl1305	kan	Ast::N	ɕ a a kʰ e	Sake	SAKE	SVKV	1
tami1289	tam	Ast::N	k i n ʌ i	kinoi	KINEI	KVNV	2
telu1262	tel	Ast::N	k o m m ʌ	komo	KUME	KVMV	3
mala1464	mal	Atem::N	ɕ ʋ a a s a m	Swasam	SWASAM	SWVSVM	1
nucl1305	kan	Atem::N	w ʊ s ɪ r u	wusiru	WYSIRY	WVSVRV	3
tami1289	tam	Atem::N	m u u t t͡ɕ u	muCu	MYCY	MVKV	2
telu1262	tel	Atem::N	u p i r i	upiri	YPIRI	VPVRV	3
mala1464	mal	atmen::V	ɕ ʋ a s i k k ʲ u ɡ a	Swasikuga	SWASIKYKA	SWVSVKVKV	3
nucl1305	kan	atmen::V	w ʊ s ɪ r u	wusiru	WYSIRY	WVSVRV	2
tami1289	tam	atmen::V	t͡ɕ u ʋ ɑ ɑ t͡ɕ i	CuwaCi	CYWACI	KVWVKV	3
telu1262	tel	atmen::V	u p i r i _ t i i j u	upiritiyu	YPIRI_TIJY	VPVRV_TVJV	1
mala1464	mal	auf einmal::ADV	u ɖ a n ɨ	udan3	YTANI	VTVNV	3
nucl1305	kan	auf einmal::ADV	w ɔ ɖ ə n e	wod3ne	WUTENE	WVTVNV	1
tami1289	tam	auf einmal::ADV	t ʌ ɖ i i ɾ e n r u	todirenru	TETIRENRY	TVTVRVNRV	3
telu1262	tel	auf einmal::ADV	h ʌ r a a t t u ɡ ʌ	horatugo	HERATYKE	HVRVTVKV	2
mala1464	mal	aufbewahren::V	ʋ a j k k u ɡ a	waykuga	WAJKYKA	WVJKVKV	3
nucl1305	kan	aufbewahren::V	j ɪ ʈ ʈ ʊ k o	yituko	JITYKU	JVTVKV	1
tami1289	tam	aufbewahren::V	ʋ ʌ i t t u k _ k o ɭ	woitukkoL	WEITYK_KUL	WVTVK_KVR	1
telu1262	tel	aufbewahren::V	k a a p a a ɖ u	kapadu	KAPATY	KVPVTV	2
mala1464	mal	aufgehen[Sonne]::V	u j a ɾʲ u ɡ a	uyaruga	YJARYKA	VJVRVKV	1
nucl1305	kan	aufgehen[Sonne]::V	m u u ɖ u	mudu	MYTY	MVTV	3
tami1289	tam	aufgehen[Sonne]::V	u j ʌ ɾ ʌ _ e ɻ u	uyoroeLu	YJERE_ERY	VJVRV_VRV	1
telu1262	tel	aufgehen[Sonne]::V	u d ʌ j ĩ t͡ɕ u	udoyiCu	YTEJICY	VTVJVKV	2
mala1464	mal	aufhängen::V	k e ʈ ʈ i dʰ u u k k u ɡ a	ketidukuga	KETITYKYKA	KVTVTVKVKV	2
nucl1305	kan	aufhängen::V	t u u ɡ ʊ h a a k u	tuguhaku	TYKYHAKY	TVKVHVKV	3
tami1289	tam	aufhängen::V	t o ŋ ɡ ʌ ʋ i ɖ u	toNgowidu	TUNKEWITY	TVNKVWVTV	3
telu1262	tel	aufhängen::V	ʋ r e e l a a ɖ ʌ d i i j u	wreladodiyu	WRELATETIJY	WRVRVTVTVJV	1
mala1464	mal	aufheben::V	p e r u k k i j e ɖ u k k u ɡ a	perukiyedukuga	PERYKIJETYKYKA	PVRVKVJVTVKVKV	1
nucl1305	kan	aufheben::V	a a j i	ayi	AJI	VJV	2
tami1289	tam	aufheben::V	p o r u k k i _ e ɖ u	porukiedu	PURYKI_ETY	PVRVKV_VTV	1
telu1262	tel	aufheben::V	s e e k ʌ r ĩ t͡ɕ u	sekoriCu	SEKERICY	SVKVRVKV	3
mala1464	mal	aufhören::V	n i ɾʲ t t u ɡ a	nirtuga	NIRTYKA	NVRTVKV	1
nucl1305	kan	aufhören::V	m ʊ ɡ ɪ s u	mugisu	MYKISY	MVKVSV	2
tami1289	tam	aufhören::V	n i r u t t u	nirutu	NIRYTY	NVRVTV	1
telu1262	tel	aufhören::V	n i l u p u	nilupu	NILYPY	NVRVPV	3
mala1464	mal	aufstehen::V	e ɻ u n n e e l k k u ɡ a	eLunelkuga	ERYNELKYKA	VRVNVRKVKV	1
nucl1305	kan	aufstehen::V	j e e ɭ u	yeLu	JELY	JVRV	3
tami1289	tam	aufstehen::V	e ɻ u n t i ɾ u	eLuntiru	ERYNTIRY	VRVNTVRV	1
telu1262	tel	aufstehen::V	l e e t͡ɕ u	leCu	LECY	RVKV	2
mala1464	mal	aufwachen::V	u ɳ a ɾʲ u ɡ a	unaruga	YNARYKA	VNVRVKV	3
nucl1305	kan	aufwachen::V	j e e ɭ u	yeLu	JELY	JVRV	1
tami1289	tam	aufwachen::V	e ɻ u p p u	eLupu	ERYPY	VRVPV	1
telu1262	tel	aufwachen::V	m e e l u k o n u	melukonu	MELYKUNY	MVRVKVNV	2
mala1464	mal	aufziehen::V	ʋ a ɭ a ɾʲ t t i k k ʲ o ɳ ɖ u ʋ a ɾʲ u ɡ a	waLartikonduwaruga	WALARTIKUNTYWARYKA	WVRVRTVKVNTVWVRVKV	1
nucl1305	kan	aufziehen::V	s ə l ə h u	s3l3hu	SELEHY	SVRVHV	3
tami1289	tam	aufziehen::V	ʋ ʌ ɭ ʌ ɾ	woLor	WELER	WVRVR	3
telu1262	tel	aufziehen::V	p ẽ t͡ɕ u	peCu	PECY	PVKV	2
mala1464	mal	Auge::N	k a ɳ ɳ ɨ	kan3	KANI	KVNV	1
nucl1305	kan	Auge::N	k ə ɳ ɳ u	k3nu	KENY	KVNV	1
tami1289	tam	Auge::N	k ʌ ɳ	kon	KEN	KVN	1
telu1262	tel	Auge::N	k ʌ n n u	konu	KENY	KVNV	1
mala1464	mal	August::N	a a ɡ a s a t a t ɨ	agasatat3	AKASATATI	VKVSVTVTV	1
nucl1305	kan	August::N	m ʊ m m ə ɭ e	mum3Le	MYMELE	MVMVRV	2
tami1289	tam	August::N	ɑ ɑ k ʌ s ʈ _ m ɑ ɑ t ʌ m	akostmatom	AKEST_MATEM	VKVST_MVTVM	1
telu1262	tel	August::N	a a ɡ ʌ s ʈ u	agostu	AKESTY	VKVSTV	1
mala1464	mal	auswählen::V	t i ɾʲ a ɲ ɲ e ɖ u k k u ɡ a	tira5edukuga	TIRANETYKYKA	TVRVNVTVKVKV	3
nucl1305	kan	auswählen::V	a a j i	ayi	AJI	VJV	1
tami1289	tam	auswählen::V	t e e ɾ l t e ɖ u	terltedu	TERLTETY	TVRRTVTV	2
telu1262	tel	auswählen::V	e e r u k o n u	erukonu	ERYKUNY	VRVKVNV	3
mala1464	mal	ausziehen::V	i ɻ u k k u ɡ a	iLukuga	IRYKYKA	VRVKVKV	3
nucl1305	kan	ausziehen::V	b ɪ t t͡ʃ u	biCu	PICY	PVKV	1
tami1289	tam	ausziehen::V	k ʌ ɻ ʌ t t u	koLotu	KERETY	KVRVTV	2
telu1262	tel	ausziehen::V	ʋ i p p u	wipu	WIPY	WVPV	1
mala1464	mal	Bach::N	a ɾʲ u ʋ i	aruwi	ARYWI	VRVWV	3
nucl1305	kan	Bach::N	t ɔ r e	tore	TURE	TVRV	3
tami1289	tam	Bach::N	o o ɖ ʌ i	odoi	UTEI	VTV	1
telu1262	tel	Bach::N	k a a l u ʋ ʌ	kaluwo	KALYWE	KVRVWV	2
mala1464	mal	backen::V	b e e k k _ t͡ʃ e j j u ɡ a	bekCeyuga	PEK_CEJYKA	PVK_KVJVKV	3
nucl1305	kan	backen::V	b e e j ɪ s u	beyisu	PEJISY	PVJVSV	1
tami1289	tam	backen::V	ʋ e p p ʌ t t i l _ ʋ ɑ ɑ ʈ ʈ u	wepotilwatu	WEPETIL_WATY	WVPVTVR_WVTV	2
telu1262	tel	backen::V	r o ʈ ʈ e k a a l t͡ɕ u	rotekalCu	RUTEKALCY	RVTVKVRKV	3
mala1464	mal	baden::V	n i i n dʰ i t t u ɖ i k k ʲ u ɡ a	ninditudikuga	NINTITYTIKYKA	NVNTVTVTVKVKV	1
nucl1305	kan	baden::V	s n a a n ə m a a ɖ u	snan3madu	SNANEMATY	SNVNVMVTV	2
tami1289	tam	baden::V	k u ɭ i	kuLi	KYLI	KVRV	2
telu1262	tel	baden::V	s n a a n ʌ m u _ t͡ɕ e e j u	snanomuCeyu	SNANEMY_CEJY	SNVNVMV_KVJV	2
mala1464	mal	bald::ADV	u ɖ a n e	udane	YTANE	VTVNV	3
