language	iso_code	gloss	ipa	asjp	sca	dolgo	Cognate Class
telu1262	tel	Märchen::N	ʌ d bʰ u t ʌ k ʌ t h ʌ	odbutokotho	ETPYTEKETHE	VTPVTVKVTHV	3
mala1464	mal	März::N	m a a ɾʲ t t͡ʃ ɨ	marC3	MARCI	MVRKV	1
nucl1305	kan	März::N	m ɔ b b e e s ɪ ɡ e	mobesige	MUPESIKE	MVPVSVKV	2
tami1289	tam	März::N	m ɑ ɑ ɾ t͡ɕ _ m ɑ ɑ t ʌ m	marCmatom	MARC_MATEM	MVRK_MVTVM	1
telu1262	tel	März::N	m a a r t͡ɕ i	marCi	MARCI	MVRKV	1
mala1464	mal	Maus::N	t͡ʃ u ɳ ɖ a l i	Cundali	CYNTALI	KVNTVRV	2
nucl1305	kan	Maus::N	j ɪ l i	yili	JILI	JVRV	2
tami1289	tam	Maus::N	e l i	eli	ELI	VRV	2
telu1262	tel	Maus::N	t͡ɕ i ʈ ʈ e l u k ʌ	Citeluko	CITELYKE	KVTVRVKV	1
mala1464	mal	Meer::N	k a ɖ a l	kadal	KATAL	KVTVR	1
nucl1305	kan	Meer::N	k ə ɖ ə l u	k3d3lu	KETELY	KVTVRV	1
tami1289	tam	Meer::N	k ʌ ɖ ʌ l	kodol	KETEL	KVTVR	1
telu1262	tel	Meer::N	s ʌ m u d r ʌ m u	somudromu	SEMYTREMY	SVMVTRVMV	2
mala1464	mal	Meister::N	j a d͡ʒ a m a a n a n	yajamanan	JACAMANAN	JVKVMVNVN	1
nucl1305	kan	Meister::N	ɕ ɪ k ʂ ə k a	SikS3ka	SIKSEKA	SVKSVKV	2
tami1289	tam	Meister::N	t ʌ l ʌ i ʋ ʌ n	toloiwon	TELEIWEN	TVRVWVN	3
telu1262	tel	Meister::N	k ʌ ɭ a a k a a r u ɖ u	koLakarudu	KELAKARYTY	KVRVKVRVTV	3
mala1464	mal	melken::V	p a a l u ɡ a r a k k u ɡ a	palugarakuga	PALYKARAKYKA	PVRVKVRVKVKV	1
nucl1305	kan	melken::V	h a a l ʊ _ k ə r e	haluk3re	HALY_KERE	HVRV_KVRV	1
tami1289	tam	melken::V	p ɑ ɑ l _ k ʌ r ʌ	palkoro	PAL_KERE	PVR_KVRV	1
telu1262	tel	melken::V	p a a l u _ p i t u k u	palupituku	PALY_PITYKY	PVRV_PVTVKV	1
mala1464	mal	Menge::N	a ɭ a ʋ ɨ	aLaw3	ALAWI	VRVWV	3
nucl1305	kan	Menge::N	m ɔ t t a	mota	MUTA	MVTV	1
tami1289	tam	Menge::N	t o h ʌ i	tohoi	TUHEI	TVHV	2
telu1262	tel	Menge::N	m o t t ʌ m u	motomu	MUTEMY	MVTVMV	1
mala1464	mal	Mensch::N	m a n u ʂ j a ɾʲ	manuSyar	MANYSJAR	MVNVSJVR	3
nucl1305	kan	Mensch::N	p ʊ r ʊ ʂ a	puruSa	PYRYSA	PVRVSV	3
tami1289	tam	Mensch::N	m ʌ n i ð ʌ ɾ k ʌ ɭ	moni8orkoL	MENIDERKEL	MVNVTVRKVR	1
telu1262	tel	Mensch::N	n ʌ r u ɖ u	norudu	NERYTY	NVRVTV	2
mala1464	mal	messen::V	a ɭ a k k u ɡ a	aLakuga	ALAKYKA	VRVKVKV	3
nucl1305	kan	messen::V	ə ɭ e	3Le	ELE	VRV	1
tami1289	tam	messen::V	ʌ ɭ ʌ ʋ i ɖ u	oLowidu	ELEWITY	VRVWVTV	2
